hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[128, 128, 128]",43,32,0.001,0.1,0.007317849900573492,0.9664152245053973
"[128, 128, 128]",46,32,0.001,0.2,0.008995145559310913,0.9545769456415162
"[128, 128, 128]",22,64,0.01,0.0,0.005876956507563591,0.9739373869585967
"[128, 128, 128]",25,64,0.01,0.1,0.005536236334592104,0.9736602048593703
"[128, 128, 128]",5,64,0.01,0.2,0.009049950167536736,0.9534720770926236
"[128, 128, 128]",97,64,0.001,0.0,0.00967965368181467,0.9578878432514085
"[128, 128, 128]",109,64,0.001,0.1,0.0068106637336313725,0.9680483633396885
"[128, 128, 128]",61,64,0.001,0.2,0.009041045792400837,0.954861585649024
"[128, 128, 128]",36,128,0.01,0.0,0.0060480027459561825,0.9736149443862803
"[128, 128, 128]",33,128,0.01,0.1,0.006201989948749542,0.970837385089288
"[128, 128, 128]",12,128,0.01,0.2,0.009594614617526531,0.9483491027715877
"[128, 128, 128]",192,128,0.001,0.0,0.011379005387425423,0.9510385535777917
"[128, 128, 128]",147,128,0.001,0.1,0.006968481466174126,0.9680531946643158
"[128, 128, 128]",56,128,0.001,0.2,0.01244088914245367,0.9358796306515403
"[128, 128, 128]",53,256,0.01,0.0,0.006288224831223488,0.9723350218957754
"[128, 128, 128]",49,256,0.01,0.1,0.005850145127624273,0.972198076647054
"[128, 128, 128]",24,256,0.01,0.2,0.00949501059949398,0.9489362588019017
"[128, 128, 128]",200,256,0.001,0.0,0.010496282950043678,0.9545409730579052
"[128, 128, 128]",141,256,0.001,0.1,0.00870572030544281,0.9595294967250301
"[128, 128, 128]",86,256,0.001,0.2,0.01732676848769188,0.9042200742537598
"[128, 256, 128]",14,16,0.01,0.0,0.005469916388392448,0.9760299492891031
"[128, 256, 128]",11,16,0.01,0.1,0.0054137432016432285,0.9746480146664388
"[128, 256, 128]",18,16,0.01,0.2,0.007149840705096722,0.961466120408994
"[128, 256, 128]",36,16,0.001,0.0,0.010234321467578411,0.9562618168909794
"[128, 256, 128]",55,16,0.001,0.1,0.006368081551045179,0.9708710154309402
"[128, 256, 128]",61,16,0.001,0.2,0.009194726124405861,0.9517434943507717
"[128, 256, 128]",13,32,0.01,0.0,0.006054142955690622,0.9732475473427193
"[128, 256, 128]",15,32,0.01,0.1,0.00551457516849041,0.9750288147331481
"[128, 256, 128]",14,32,0.01,0.2,0.007180849555879831,0.9634126903994525
"[128, 256, 128]",58,32,0.001,0.0,0.01036542747169733,0.9556855779159991
"[128, 256, 128]",89,32,0.001,0.1,0.006436015013605356,0.970564355550018
"[128, 256, 128]",32,32,0.001,0.2,0.011088370345532894,0.9437115512138816
"[128, 256, 128]",21,64,0.01,0.0,0.006256794556975365,0.9726926954304903
"[128, 256, 128]",42,64,0.01,0.1,0.005291291046887636,0.9747757555513894
"[128, 256, 128]",16,64,0.01,0.2,0.007038590498268604,0.9638974892856697
"[128, 256, 128]",107,64,0.001,0.0,0.010112021118402481,0.9562605916442618
"[128, 256, 128]",64,64,0.001,0.1,0.00898030772805214,0.9583214330902268
"[128, 256, 128]",104,64,0.001,0.2,0.00996311753988266,0.9491211080984674
"[128, 256, 128]",35,128,0.01,0.0,0.006100911647081375,0.9732426706191067
"[128, 256, 128]",50,128,0.01,0.1,0.005734619684517384,0.9726091227187817
"[128, 256, 128]",35,128,0.01,0.2,0.008729849942028522,0.9517304628507074
"[128, 256, 128]",200,128,0.001,0.0,0.011907135136425495,0.9481104491093664
"[128, 256, 128]",163,128,0.001,0.1,0.00816182792186737,0.9622772809764867
"[128, 256, 128]",83,128,0.001,0.2,0.01446504332125187,0.9230415874323794
"[128, 256, 128]",62,256,0.01,0.0,0.006210019811987877,0.9724696611810544
"[128, 256, 128]",71,256,0.01,0.1,0.0058266050182282925,0.97218868299218
"[128, 256, 128]",37,256,0.01,0.2,0.008514235727488995,0.9546841789325574
"[128, 256, 128]",200,256,0.001,0.0,0.011772186495363712,0.948783695527479
"[128, 256, 128]",191,256,0.001,0.1,0.00865289755165577,0.9598503099454239
"[128, 256, 128]",124,256,0.001,0.2,0.019863810390233994,0.8893094982130063
"[128, 256, 512]",14,16,0.01,0.0,0.005701838526874781,0.9752333156749505
"[128, 256, 512]",6,16,0.01,0.1,0.006649524439126253,0.9685071280908958
"[128, 256, 512]",2,16,0.01,0.2,0.010670909658074379,0.9408238250431998
"[128, 256, 512]",30,16,0.001,0.0,0.011684871278703213,0.9486366469500745
"[128, 256, 512]",19,16,0.001,0.1,0.011256394907832146,0.94457164223294
"[128, 256, 512]",6,16,0.001,0.2,0.030219456180930138,0.8169381932741018
"[128, 256, 512]",12,32,0.01,0.0,0.006373722106218338,0.9717899365743154
"[128, 256, 512]",13,32,0.01,0.1,0.006883065681904554,0.9652616281024099
"[128, 256, 512]",5,32,0.01,0.2,0.012440887279808521,0.9300043242841473
"[128, 256, 512]",50,32,0.001,0.0,0.01113736443221569,0.9518523731873836
"[128, 256, 512]",19,32,0.001,0.1,0.012090442702174187,0.9400634731004449
"[128, 256, 512]",32,32,0.001,0.2,0.03495153784751892,0.7676081942979711
