hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[16, 32, 16]",20,8,0.01,0.0,0.0073386281728744,0.9667893712861064
"[16, 32, 16]",9,8,0.01,0.1,0.0583574250340461,0.6167157210327323
"[16, 32, 16]",44,8,0.01,0.2,0.0199326425790786,0.9042505806688698
"[32, 64, 32]",26,8,0.01,0.0,0.0069493488408625,0.9683772892070258
"[32, 64, 32]",35,8,0.01,0.1,0.0114577449858188,0.9434930725620227
"[32, 64, 32]",65,8,0.01,0.2,0.0142012033611536,0.9351559610118696
"[32, 64, 32]",17,8,0.01,0.0,0.0069811986759305,0.9691304294789014
"[32, 64, 32]",17,8,0.01,0.1,0.0147419860586524,0.9300717881052014
"[32, 64, 32]",14,8,0.01,0.2,0.0183039270341396,0.9144576565701642
"[128, 128, 128]",14,8,0.01,0.0,0.0066572907380759,0.9705279639274212
"[128, 128, 128]",32,8,0.01,0.1,0.00903688557446,0.958001918854248
"[128, 128, 128]",43,8,0.01,0.2,0.0099494634196162,0.957521801629568
"[256, 256, 256]",21,8,0.01,0.0,0.0062371711246669,0.9726286928388546
"[256, 256, 256]",25,8,0.01,0.1,0.0079455990344285,0.9643264069090844
"[256, 256, 256]",18,8,0.01,0.2,0.0101840896531939,0.9529075598509548
"[512, 512, 512]",25,8,0.01,0.0,0.0062530827708542,0.9714719634147204
"[512, 512, 512]",16,8,0.01,0.1,0.0074281739071011,0.9655606903060672
"[512, 512, 512]",18,8,0.01,0.2,0.0084223998710513,0.9624987064096489
"[128, 64, 128]",17,8,0.01,0.0,0.0066812271252274,0.9699025834620818
"[128, 64, 128]",27,8,0.01,0.1,0.0088579524308443,0.9615926662807536
"[128, 64, 128]",43,8,0.01,0.2,0.0104837641119956,0.9524157829055064
"[256, 128, 256]",19,8,0.01,0.0,0.0063636903651058,0.9716732667500768
"[256, 128, 256]",24,8,0.01,0.1,0.0087608434259891,0.961556909809134
"[256, 128, 256]",29,8,0.01,0.2,0.0096339927986264,0.9549584177832642
"[512, 256, 512]",19,8,0.01,0.0,0.0061220042407512,0.9723444728853056
"[512, 256, 512]",12,8,0.01,0.1,0.0079934662207961,0.9640445617483394
"[512, 256, 512]",39,8,0.01,0.2,0.0086580803617835,0.958830309333865
"[64, 128, 64]",38,8,0.01,0.0,0.0066030342131853,0.970365812309018
"[64, 128, 64]",24,8,0.01,0.1,0.0088736303150653,0.9610406609553452
"[64, 128, 64]",21,8,0.01,0.2,0.0127506246790289,0.938667615838196
"[128, 256, 128]",11,8,0.01,0.0,0.0070702475495636,0.96809719377401
"[128, 256, 128]",23,8,0.01,0.1,0.0086346520110964,0.9596714099567164
"[128, 256, 128]",21,8,0.01,0.2,0.0103796897456049,0.9538891543670456
"[256, 512, 256]",14,8,0.01,0.0,0.0064816493541002,0.9707495161889624
"[256, 512, 256]",50,8,0.01,0.1,0.0079059284180402,0.9665601271611072
"[256, 512, 256]",51,8,0.01,0.2,0.0082716271281242,0.9624365478451148
"[64, 32, 64]",3,8,0.1,0.0,0.0562402755022048,0.6758272215230189
"[128, 128, 128]",7,8,0.1,0.0,0.0104907164350152,0.9545219922051902
"[256, 256, 256]",25,8,0.1,0.0,0.0089397132396698,0.9563217311388038
"[512, 512, 512]",5,8,0.1,0.0,0.0086420392617583,0.9626546771376944
"[512, 512, 512]",2,8,0.1,0.1,0.0823891460895538,0.4510193907074746
"[256, 128, 256]",17,8,0.1,0.0,0.0075850100256502,0.9675819479548542
"[256, 128, 256]",1,8,0.1,0.1,0.0732106864452362,0.8117106182686908
"[256, 512, 256]",19,8,0.1,0.0,0.0076284762471914,0.9670749694415948
"[256, 512, 256]",2,8,0.1,0.1,0.0409477576613426,0.7457165474231757
"[16, 16, 16]",64,16,0.001,0.0,0.0073137502186,0.9671825890566488
"[16, 16, 16]",26,16,0.001,0.1,0.0241126175969839,0.8826142587456346
"[16, 16, 16]",38,16,0.001,0.2,0.0401057563722133,0.7845729409720665
"[32, 32, 32]",136,16,0.001,0.0,0.0067516546696424,0.9691525840607396
"[32, 32, 32]",43,16,0.001,0.1,0.0150171294808387,0.9299804222087598
"[32, 32, 32]",63,16,0.001,0.2,0.0207800287753343,0.8999717308393659
"[64, 64, 64]",57,16,0.001,0.0,0.0070492317900061,0.9682679054773426
"[64, 64, 64]",84,16,0.001,0.1,0.0115599231794476,0.9478862747358864
"[64, 64, 64]",69,16,0.001,0.2,0.0168160647153854,0.922095931917076
"[16, 8, 16]",70,16,0.001,0.0,0.0072144991718232,0.967155556122994
"[16, 8, 16]",21,16,0.001,0.1,0.0326788127422332,0.831957888026299
"[16, 8, 16]",29,16,0.001,0.2,0.0327748693525791,0.8254206643980725
"[32, 16, 32]",143,16,0.001,0.0,0.006825047545135,0.969162835659494
"[32, 16, 32]",39,16,0.001,0.1,0.0196069125086069,0.9093898361005582
"[32, 16, 32]",36,16,0.001,0.2,0.028444729745388,0.8550979899915654
"[64, 32, 64]",83,16,0.001,0.0,0.0069374567829072,0.9685516581966545
"[64, 32, 64]",87,16,0.001,0.1,0.0124919340014457,0.9422540159106864
"[64, 32, 64]",66,16,0.001,0.2,0.0182889103889465,0.9120985828423188
"[16, 32, 16]",104,16,0.001,0.0,0.0070191733539104,0.9679946353760328
"[16, 32, 16]",80,16,0.001,0.1,0.0151972221210598,0.9304985983965964
"[16, 32, 16]",37,16,0.001,0.2,0.0333068780601024,0.8360966869101912
"[32, 64, 32]",40,16,0.001,0.0,0.007239494472742,0.9675516469837246
"[32, 64, 32]",53,16,0.001,0.1,0.0141790164634585,0.9364712590958784
"[32, 64, 32]",90,16,0.001,0.2,0.0192535575479269,0.91131756751862
"[32, 64, 32]",73,16,0.001,0.0,0.0070338719524443,0.9679126532659278
"[32, 64, 32]",50,16,0.001,0.1,0.0141481207683682,0.9327017142489308
"[32, 64, 32]",58,16,0.001,0.2,0.0196590479463338,0.9069928046461933
"[128, 128, 128]",51,16,0.001,0.0,0.0070482175797224,0.9679048487682068
"[128, 128, 128]",100,16,0.001,0.1,0.0096598388627171,0.9556154477656528
"[128, 128, 128]",67,16,0.001,0.2,0.012937388382852,0.9389807382198052
"[256, 256, 256]",64,16,0.001,0.0,0.0068066734820604,0.9698247907243114
"[256, 256, 256]",66,16,0.001,0.1,0.010763581842184,0.952296160216875
"[256, 256, 256]",74,16,0.001,0.2,0.0110174277797341,0.9505385016817092
"[512, 512, 512]",76,16,0.001,0.0,0.0069249551743268,0.969343852278816
"[512, 512, 512]",67,16,0.001,0.1,0.0098814973607659,0.9564016989422816
"[512, 512, 512]",105,16,0.001,0.2,0.0099588418379426,0.9534277661456014
"[128, 64, 128]",106,16,0.001,0.0,0.0067213121801614,0.969637765330447
"[128, 64, 128]",72,16,0.001,0.1,0.0107578812167048,0.9521858005168438
"[128, 64, 128]",55,16,0.001,0.2,0.0158674325793981,0.9288916453635556
"[256, 128, 256]",51,16,0.001,0.0,0.007039182819426,0.9676741537677874
"[256, 128, 256]",70,16,0.001,0.1,0.0104792341589927,0.953782473174194
"[256, 128, 256]",92,16,0.001,0.2,0.0112110497429966,0.9480174168953762
"[512, 256, 512]",75,16,0.001,0.0,0.0065179769881069,0.971046075800655
"[512, 256, 512]",78,16,0.001,0.1,0.0097393691539764,0.9568133445370332
"[512, 256, 512]",92,16,0.001,0.2,0.0101449396461248,0.9540191550427706
"[64, 128, 64]",84,16,0.001,0.0,0.0068931165151298,0.9693165744252334
"[64, 128, 64]",67,16,0.001,0.1,0.0125194052234292,0.9432631688588756
"[64, 128, 64]",72,16,0.001,0.2,0.0146762738004326,0.9319201806947212
"[128, 256, 128]",69,16,0.001,0.0,0.0067351167090237,0.9693138034617086
"[128, 256, 128]",72,16,0.001,0.1,0.0102720325812697,0.9536165991028708
"[128, 256, 128]",89,16,0.001,0.2,0.0113145634531974,0.9487833897970316
"[256, 512, 256]",79,16,0.001,0.0,0.0064798756502568,0.97047520927367
"[256, 512, 256]",69,16,0.001,0.1,0.0105989919975399,0.9511143874479692
"[256, 512, 256]",64,16,0.001,0.2,0.0119357788935303,0.9464197411697776
"[16, 16, 16]",19,16,0.01,0.0,0.0076358658261597,0.965395582995916
"[16, 16, 16]",25,16,0.01,0.1,0.019467806443572,0.9051697224814998
"[16, 16, 16]",45,16,0.01,0.2,0.0328847095370292,0.8136994193130909
"[32, 32, 32]",28,16,0.01,0.0,0.0073288083076477,0.9660775033972294
"[32, 32, 32]",18,16,0.01,0.1,0.0125727476552128,0.9426095402173676
"[32, 32, 32]",15,16,0.01,0.2,0.0187981575727462,0.9068118106449774
"[64, 64, 64]",35,16,0.01,0.0,0.0064340052194893,0.9719982049397003
"[64, 64, 64]",47,16,0.01,0.1,0.0108549743890762,0.9540183661991528
"[64, 64, 64]",20,16,0.01,0.2,0.0138102285563945,0.9353163279271788
"[16, 8, 16]",14,16,0.01,0.0,0.0077163102105259,0.963471937225213
"[16, 8, 16]",27,16,0.01,0.1,0.0297800749540328,0.8612143744480432
"[32, 16, 32]",53,16,0.01,0.0,0.0068880254402756,0.9685619716935212
"[32, 16, 32]",27,16,0.01,0.1,0.0119836945086717,0.9418484760910358
